[11/11/17 05:47PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/11/17 05:49PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/11/17 05:50PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/11/17 06:16PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/11/17 06:19PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/11/17 06:25PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/11/17 07:59PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 12:46PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:04PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:04PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:05PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:07PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:08PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:09PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:09PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:10PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:11PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:11PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:12PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:13PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:14PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:15PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:23PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:24PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:26PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:48PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:48PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:49PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/12/17 01:49PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/13/17 05:12PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/13/17 05:12PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/13/17 05:13PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/13/17 05:33PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/13/17 09:08PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/13/17 09:36PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/13/17 09:36PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/13/17 09:44PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/13/17 09:45PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/14/17 12:23AM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/15/17 02:30PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/15/17 02:51PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/15/17 02:51PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/15/17 03:59PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/15/17 03:59PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/15/17 04:01PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/15/17 04:01PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
